Month,Payment,Principal,Interest,Balance
36,4774.152954654537,1618.799437244792,3155.353517409745,944987.2557856789
37,4774.152954654537,1624.1954353689412,3149.957519285596,943363.0603503099
38,4774.152954654537,1629.6094201535043,3144.543534501033,941733.4509301564
39,4774.152954654537,1635.041451554016,3139.111503100521,940098.4094786023
40,4774.152954654537,1640.491589725863,3133.661364928674,938457.9178888765
41,4774.152954654537,1645.9598950249488,3128.1930596295883,936811.9579938516
42,4774.152954654537,1651.4464280083653,3122.706526646172,935160.5115658432
43,4774.152954654537,1656.9512494350597,3117.2017052194774,933503.5603164082
44,4774.152954654537,1662.4744202665102,3111.678534388027,931841.0858961417
45,4774.152954654537,1668.016001667398,3106.136952987139,930173.0698944743
46,4774.152954654537,1673.5760550062896,3100.5768996482475,928499.4938394681
47,4774.152954654537,1679.1546418563103,3094.998312798227,926820.3391976118
48,4774.152954654537,1684.7518239958313,3089.401130658706,925135.5873736159
49,4774.152954654537,1690.3676634091507,3083.7852912453864,923445.2197102068
50,4774.152954654537,1696.0022222871812,3078.150732367356,921749.2174879196
51,4774.152954654537,1701.6555630281387,3072.4973916263984,920047.5619248914
52,4774.152954654537,1707.3277482382327,3066.8252064163044,918340.2341766532
53,4774.152954654537,1713.0188407323599,3061.134113922177,916627.2153359208
54,4774.152954654537,1718.7289035348012,3055.424051119736,914908.486432386
55,4774.152954654537,1724.4579998799172,3049.69495477462,913184.028432506
56,4774.152954654537,1730.2061932128504,3043.9467614416867,911453.8222392931
57,4774.152954654537,1735.9735471902268,3038.1794074643103,909717.8486921029
58,4774.152954654537,1741.7601256808607,3032.3928289736764,907976.0885664221
59,4774.152954654537,1747.5659927664638,3026.5869618880733,906228.5225736557
60,4774.152954654537,1753.3912127423514,3020.7617419121857,904475.1313609134
61,4774.152954654537,1759.2358501181593,3014.917104536378,902715.8955107952
62,4774.152954654537,1765.0999696185536,3009.0529850359835,900950.7955411766
63,4774.152954654537,1770.9836361839489,3003.169318470588,899179.8119049927
64,4774.152954654537,1776.8869149712282,2997.266039683309,897402.9249900214
65,4774.152954654537,1782.809871354466,2991.343083300071,895620.1151186669
66,4774.152954654537,1788.7525709256474,2985.4003837288897,893831.3625477413
67,4774.152954654537,1794.7150794953996,2979.4378751591375,892036.6474682458
68,4774.152954654537,1800.697463093718,2973.455491560819,890235.9500051521
69,4774.152954654537,1806.699787970697,2967.45316668384,888429.2502171814
70,4774.152954654537,1812.722120597266,2961.430834057271,886616.5280965841
71,4774.152954654537,1818.7645276659237,2955.3884269886134,884797.7635689182
72,4774.152954654537,1824.8270760914766,2949.3258785630605,882972.9364928268
73,4774.152954654537,1830.9098330117813,2943.243121642756,881142.026659815
74,4774.152954654537,1837.0128657884875,2937.1400888660496,879305.0137940265
75,4774.152954654537,1843.1362420077826,2931.0167126467545,877461.8775520186
76,4774.152954654537,1849.2800294811418,2924.8729251733953,875612.5975225375
77,4774.152954654537,1855.444296246079,2918.708658408458,873757.1532262914
78,4774.152954654537,1861.6291105668993,2912.523844087638,871895.5241157245
79,4774.152954654537,1867.8345409354556,2906.3184137190815,870027.689574789
80,4774.152954654537,1874.060656071907,2900.09229858263,868153.6289187171
81,4774.152954654537,1880.3075249254803,2893.845429729057,866273.3213937917
82,4774.152954654537,1886.5752166752318,2887.5777379793053,864386.7461771165
83,4774.152954654537,1892.8638007308155,2881.2891539237216,862493.8823763857
84,4774.152954654537,1899.1733467332515,2874.9796079212856,860594.7090296525
85,4774.152954654537,1905.5039245556954,2868.6490300988416,858689.2051050968
86,4774.152954654537,1911.8556043042145,2862.2973503503226,856777.3495007926
87,4774.152954654537,1918.2284563185622,2855.924498335975,854859.121044474
88,4774.152954654537,1924.6225511729576,2849.5304034815795,852934.498493301
89,4774.152954654537,1931.0379596768676,2843.1149949776695,851003.4605336242
90,4774.152954654537,1937.4747528757903,2836.678201778747,849065.9857807484
91,4774.152954654537,1943.9330020520424,2830.2199526024947,847122.0527786964
92,4774.152954654537,1950.4127787255493,2823.740175928988,845171.6399999709
93,4774.152954654537,1956.9141546546343,2817.2387999999028,843214.7258453163
94,4774.152954654537,1963.4372018368163,2810.715752817721,841251.2886434795
95,4774.152954654537,1969.9819925096058,2804.1709621449313,839281.3066509699
96,4774.152954654537,1976.5485991513042,2797.604355503233,837304.7580518186
97,4774.152954654537,1983.1370944818086,2791.0158601727285,835321.6209573367
98,4774.152954654537,1989.7475514634148,2784.4054031911223,833331.8734058733
99,4774.152954654537,1996.3800433016263,2777.772911352911,831335.4933625717
100,4774.152954654537,2003.0346434459648,2771.1183112085723,829332.4587191257
101,4774.152954654537,2009.711425590785,2764.441529063752,827322.7472935349
102,4774.152954654537,2016.4104636760876,2757.7424909784495,825306.3368298588
103,4774.152954654537,2023.1318318883414,2751.0211227661957,823283.2049979705
104,4774.152954654537,2029.8756046613025,2744.2773499932346,821253.3293933092
105,4774.152954654537,2036.6418566768398,2737.5110979776973,819216.6875366324
106,4774.152954654537,2043.4306628657628,2730.7222917887743,817173.2568737667
107,4774.152954654537,2050.2420984086484,2723.9108562458887,815123.014775358
108,4774.152954654537,2057.076238736677,2717.07671591786,813065.9385366214
109,4774.152954654537,2063.933159532466,2710.219795122071,811002.0053770889
110,4774.152954654537,2070.8129367309075,2703.3400179236296,808931.192440358
111,4774.152954654537,2077.7156465200105,2696.4373081345266,806853.476793838
112,4774.152954654537,2084.641365341744,2689.511589312793,804768.8354284962
113,4774.152954654537,2091.5901698928833,2682.562784761654,802677.2452586034
114,4774.152954654537,2098.5621371258594,2675.5908175286777,800578.6831214775
115,4774.152954654537,2105.5573442496125,2668.5956104049246,798473.1257772279
116,4774.152954654537,2112.575868730444,2661.577085924093,796360.5499084975
117,4774.152954654537,2119.617788292879,2654.535166361658,794240.9321202046
118,4774.152954654537,2126.6831809205223,2647.469773734015,792114.248939284
119,4774.152954654537,2133.7721248569237,2640.3808297976134,789980.4768144271
120,4774.152954654537,2140.8846986064473,2633.26825604809,787839.5921158206
121,4774.152954654537,2148.0209809351354,2626.1319737194017,785691.5711348855
122,4774.152954654537,2155.1810508715853,2618.971903782952,783536.3900840139
123,4774.152954654537,2162.364987707824,2611.787966946713,781374.0250963061
124,4774.152954654537,2169.5728710001836,2604.5800836543535,779204.452225306
125,4774.152954654537,2176.804780570184,2597.348174084353,777027.6474447357
126,4774.152954654537,2184.0607965054182,2590.092158149119,774843.5866482303
127,4774.152954654537,2191.3409991604362,2582.811955494101,772652.2456490699
128,4774.152954654537,2198.6454691576378,2575.5074854968993,770453.6001799123
129,4774.152954654537,2205.974287388163,2568.1786672663743,768247.6258925241
130,4774.152954654537,2213.32753501279,2560.825419641747,766034.2983575114
131,4774.152954654537,2220.7052934628327,2553.4476611917044,763813.5930640486
132,4774.152954654537,2228.107644441042,2546.045310213495,761585.4854196075
133,4774.152954654537,2235.5346699225124,2538.6182847320247,759349.9507496849
134,4774.152954654537,2242.9864521555874,2531.1665024989497,757106.9642975293
135,4774.152954654537,2250.463073662773,2523.6898809917643,754856.5012238666
136,4774.152954654537,2257.9646172416487,2516.1883374128884,752598.536606625
137,4774.152954654537,2265.4911659657873,2508.6617886887498,750333.0454406592
138,4774.152954654537,2273.0428031856736,2501.1101514688635,748060.0026374735
139,4774.152954654537,2280.6196125296256,2493.5333421249115,745779.3830249439
140,4774.152954654537,2288.2216779047244,2485.9312767498127,743491.1613470392
141,4774.152954654537,2295.84908349774,2478.303871156797,741195.3122635414
142,4774.152954654537,2303.501913776066,2470.651040878471,738891.8103497654
143,4774.152954654537,2311.180253488653,2462.9727011658842,736580.6300962766
144,4774.152954654537,2318.8841876669485,2455.2687669875886,734261.7459086097
145,4774.152954654537,2326.6138016258383,2447.539153028699,731935.1321069839
146,4774.152954654537,2334.3691809645907,2439.7837736899464,729600.7629260194
147,4774.152954654537,2342.150411567806,2432.0025430867313,727258.6125144516
148,4774.152954654537,2349.957579606365,2424.195375048172,724908.6549348453
149,4774.152954654537,2357.7907715383863,2416.362183116151,722550.8641633069
150,4774.152954654537,2365.650074110181,2408.5028805443562,720185.2140891968
151,4774.152954654537,2373.535574357215,2400.617380297322,717811.6785148395
152,4774.152954654537,2381.447359605072,2392.705595049465,715430.2311552344
153,4774.152954654537,2389.3855174704227,2384.7674371841144,713040.845637764
154,4774.152954654537,2397.3501358619906,2376.8028187925465,710643.495501902
155,4774.152954654537,2405.3413029815306,2368.8116516730065,708238.1541989205
156,4774.152954654537,2413.359107324802,2360.793847329735,705824.7950915956
157,4774.152954654537,2421.403637682552,2352.749316971985,703403.3914539131
158,4774.152954654537,2429.474983141494,2344.6779715130433,700973.9164707715
159,4774.152954654537,2437.573233085299,2336.5797215692382,698536.3432376862
160,4774.152954654537,2445.698477195583,2328.454477458954,696090.6447604906
161,4774.152954654537,2453.850805452902,2320.302149201635,693636.7939550377
162,4774.152954654537,2462.0303081377447,2312.1226465167924,691174.7636469
163,4774.152954654537,2470.2370758315374,2303.9158788229997,688704.5265710684
164,4774.152954654537,2478.4711994176423,2295.681755236895,686226.0553716508
165,4774.152954654537,2486.7327700823676,2287.4201845721695,683739.3226015684
166,4774.152954654537,2495.0218793159756,2279.1310753385615,681244.3007222525
167,4774.152954654537,2503.338618913696,2270.814335740841,678740.9621033388
168,4774.152954654537,2511.683080976741,2262.469873677796,676229.2790223621
169,4774.152954654537,2520.05535791333,2254.097596741207,673709.2236644487
170,4774.152954654537,2528.455542439708,2245.697412214829,671180.768122009
171,4774.152954654537,2536.883727581174,2237.2692270733633,668643.8843944279
172,4774.152954654537,2545.340006673111,2228.812947981426,666098.5443877548
173,4774.152954654537,2553.8244733620213,2220.328481292516,663544.7199143927
174,4774.152954654537,2562.337221606562,2211.8157330479753,660982.3826927862
175,4774.152954654537,2570.878345678583,2203.274608975954,658411.5043471076
176,4774.152954654537,2579.4479401641784,2194.7050144903587,655832.0564069435
177,4774.152954654537,2588.0460999647257,2186.1068546898114,653244.0103069787
178,4774.152954654537,2596.6729202979413,2177.4800343565958,650647.3373866808
179,4774.152954654537,2605.3284966989345,2168.8244579556026,648042.0088899818
180,4774.152954654537,2614.0129250212644,2160.1400296332727,645427.9959649605
181,4774.152954654537,2622.726301438002,2151.426653216535,642805.2696635225
182,4774.152954654537,2631.4687224427958,2142.6842322117413,640173.8009410797
183,4774.152954654537,2640.240284850938,2133.912669803599,637533.5606562288
184,4774.152954654537,2649.041085800441,2125.111868854096,634884.5195704284
185,4774.152954654537,2657.871222753109,2116.281731901428,632226.6483476753
186,4774.152954654537,2666.7307934956193,2107.422161158918,629559.9175541797
187,4774.152954654537,2675.619896140605,2098.5330585139322,626884.297658039
188,4774.152954654537,2684.5386291277405,2089.6143255267966,624199.7590289112
189,4774.152954654537,2693.487091224833,2080.665863429704,621506.2719376864
190,4774.152954654537,2702.465381528916,2071.687573125621,618803.8065561574
191,4774.152954654537,2711.473599467346,2062.679355187191,616092.3329566901
192,4774.152954654537,2720.5118447989034,2053.6411098556337,613371.8211118912
193,4774.152954654537,2729.5802176149,2044.572737039637,610642.2408942763
194,4774.152954654537,2738.678818340283,2035.474136314254,607903.562075936
195,4774.152954654537,2747.8077477347506,2026.3452069197865,605155.7543282013
196,4774.152954654537,2756.967106893866,2017.1858477606709,602398.7872213074
197,4774.152954654537,2766.1569972501793,2007.9959574043578,599632.6302240572
198,4774.152954654537,2775.3775205743464,1998.7754340801907,596857.2527034829
199,4774.152954654537,2784.628778976261,1989.5241756782762,594072.6239245066
200,4774.152954654537,2793.910874906182,1980.242079748355,591278.7130496004
201,4774.152954654537,2803.2239111558692,1970.9290434986679,588475.4891384445
202,4774.152954654537,2812.567990859722,1961.584963794815,585662.9211475848
203,4774.152954654537,2821.943217495921,1952.2097371586158,582840.9779300889
204,4774.152954654537,2831.3496948875745,1942.8032597669628,580009.6282352014
205,4774.152954654537,2840.7875272038664,1933.365427450671,577168.8407079974
206,4774.152954654537,2850.2568189612125,1923.8961356933246,574318.5838890362
207,4774.152954654537,2859.7576750244166,1914.3952796301205,571458.8262140118
208,4774.152954654537,2869.290200607831,1904.8627540467057,568589.5360134039
209,4774.152954654537,2878.8545012765244,1895.298453378013,565710.6815121274
210,4774.152954654537,2888.450682947446,1885.7022717070913,562822.23082918
211,4774.152954654537,2898.078851890604,1876.074102763933,559924.1519772894
212,4774.152954654537,2907.7391147302396,1866.4138399242977,557016.4128625591
213,4774.152954654537,2917.431578446007,1856.72137620853,554098.981284113
214,4774.152954654537,2927.1563503741604,1846.9966042803767,551171.8249337389
215,4774.152954654537,2936.9135382087406,1837.2394164457962,548234.9113955302
216,4774.152954654537,2946.70325000277,1827.4497046517672,545288.2081455274
217,4774.152954654537,2956.525594169446,1817.6273604850912,542331.682551358
218,4774.152954654537,2966.3806794833436,1807.7722751711933,539365.3018718747
219,4774.152954654537,2976.2686150816216,1797.8843395729157,536389.033256793
220,4774.152954654537,2986.189510465227,1787.96344418931,533402.8437463278
221,4774.152954654537,2996.143475500111,1778.009479154426,530406.7002708276
222,4774.152954654537,3006.1306204184452,1768.0223342360919,527400.5696504092
223,4774.152954654537,3016.1510558198397,1758.0018988346972,524384.4185945893
224,4774.152954654537,3026.204892672573,1747.9480619819644,521358.21370191674
225,4774.152954654537,3036.2922423148148,1737.8607123397223,518321.9214596019
226,4774.152954654537,3046.413216455864,1727.739738198673,515275.50824314606
227,4774.152954654537,3056.5679271773834,1717.5850274771535,512218.9403159687
228,4774.152954654537,3066.7564869346415,1707.3964677198956,509152.18382903404
229,4774.152954654537,3076.979008557757,1697.1739460967801,506075.2048204763
230,4774.152954654537,3087.2356052529494,1686.9173494015874,502987.96921522333
231,4774.152954654537,3097.5263906037926,1676.6265640507443,499890.44282461953
232,4774.152954654537,3107.851478572472,1666.301476082065,496782.59134604706
233,4774.152954654537,3118.210983501047,1655.9419711534902,493664.380362546
234,4774.152954654537,3128.6050201127173,1645.54793454182,490535.7753424333
235,4774.152954654537,3139.033703513093,1635.1192511414442,487396.7416389202
236,4774.152954654537,3149.49714919147,1624.6558054630673,484247.24448972876
237,4774.152954654537,3159.995473022108,1614.1574816324292,481087.24901670666
238,4774.152954654537,3170.528791265515,1603.624163389022,477916.72022544115
239,4774.152954654537,3181.0972205697335,1593.0557340848038,474735.6230048714
240,4774.152954654537,3191.7008779716325,1582.4520766829046,471543.92212689976
241,4774.152954654537,3202.3398808982047,1571.8130737563324,468341.5822460016
242,4774.152954654537,3213.0143471678653,1561.1386074866718,465128.5678988337
243,4774.152954654537,3223.7243949917583,1550.428559662779,461904.84350384196
244,4774.152954654537,3234.470142975064,1539.6828116794732,458670.3733608669
245,4774.152954654537,3245.251710118314,1528.901244536223,455425.1216507486
246,4774.152954654537,3256.0692158187085,1518.0837388358286,452169.0524349299
247,4774.152954654537,3266.9227798714373,1507.2301747830995,448902.12965505844
248,4774.152954654537,3277.8125224710093,1496.340432183528,445624.3171325874
249,4774.152954654537,3288.738564212579,1485.414390441958,442335.57856837485
250,4774.152954654537,3299.7010260932875,1474.4519285612494,439035.8775422816
251,4774.152954654537,3310.7000295135986,1463.4529251409385,435725.17751276796
252,4774.152954654537,3321.735696278644,1452.4172583758932,432403.4418164893
253,4774.152954654537,3332.8081485995726,1441.3448060549642,429070.63366788975
254,4774.152954654537,3343.9175090949047,1430.2354455596324,425726.7161587948
255,4774.152954654537,3355.063900791888,1419.0890538626493,422371.65225800296
256,4774.152954654537,3366.2474471278606,1407.9055075266765,419005.4048108751
257,4774.152954654537,3377.4682719516204,1396.684682702917,415627.9365389235
258,4774.152954654537,3388.7264995247924,1385.426455129745,412239.2100393987
259,4774.152954654537,3400.022254523208,1374.130700131329,408839.1877848755
260,4774.152954654537,3411.3556620382856,1362.7972926162515,405427.83212283725
261,4774.152954654537,3422.726847578413,1351.426107076124,402005.10527525883
262,4774.152954654537,3434.1359370703412,1340.017017584196,398570.9693381885
263,4774.152954654537,3445.5830568605757,1328.5698977939614,395125.38628132787
264,4774.152954654537,3457.0683337167775,1317.0846209377594,391668.3179476111
265,4774.152954654537,3468.591894829167,1305.5610598253702,388199.7260527819
266,4774.152954654537,3480.1538678119305,1293.9990868426064,384719.57218496996
267,4774.152954654537,3491.7543807046372,1282.3985739498999,381227.8178042653
268,4774.152954654537,3503.393561973653,1270.7593926808843,377724.42424229166
269,4774.152954654537,3515.071540513565,1259.0814141409721,374209.3527017781
270,4774.152954654537,3526.78844564861,1247.364509005927,370682.5642561295
271,4774.152954654537,3538.5444071341053,1235.6085475204316,367144.0198489954
272,4774.152954654537,3550.339555157886,1223.813399496651,363593.6802938375
273,4774.152954654537,3562.1740203417457,1211.9789343127916,360031.50627349573
274,4774.152954654537,3574.0479337428847,1200.1050209116524,356457.45833975286
275,4774.152954654537,3585.961426855361,1188.1915277991761,352871.4969128975
276,4774.152954654537,3597.9146316115457,1176.2383230429916,349273.58228128596
277,4774.152954654537,3609.907680383584,1164.2452742709531,345663.67460090236
278,4774.152954654537,3621.9407059848627,1152.2122486696744,342041.7338949175
279,4774.152954654537,3634.013841671479,1140.139112983058,338407.720053246
280,4774.152954654537,3646.127221143717,1128.02573351082,334761.5928321023
281,4774.152954654537,3658.2809785475292,1115.8719761070076,331103.3118535548
282,4774.152954654537,3670.475248476021,1103.677706178516,327432.8366050788
283,4774.152954654537,3682.7101659709415,1091.4427886835958,323750.1264391078
284,4774.152954654537,3694.9858665241777,1079.1670881303594,320055.14057258365
285,4774.152954654537,3707.3024860792584,1066.8504685752787,316347.8380865044
286,4774.152954654537,3719.660161032856,1054.4927936216811,312628.1779254715
287,4774.152954654537,3732.059028236299,1042.0939264182382,308896.1188972352
288,4774.152954654537,3744.4992249970865,1029.6537296574506,305151.6196722381
289,4774.152954654537,3756.98088908041,1017.172065574127,301394.63878315774
290,4774.152954654537,3769.504158710678,1004.6487959438591,297625.1346244471
291,4774.152954654537,3782.0691725730467,992.0837820814902,293843.06545187405
292,4774.152954654537,3794.676069814957,979.4768848395801,290048.3893820591
293,4774.152954654537,3807.3249900476735,966.8279646068636,286241.06439201144
294,4774.152954654537,3820.0160733478324,954.1368813067047,282421.0483186636
295,4774.152954654537,3832.749460258992,941.4034943955453,278588.2988584046
296,4774.152954654537,3845.5252917931884,928.6276628613487,274742.77356661146
297,4774.152954654537,3858.343709432499,915.8092452220382,270884.42985717894
298,4774.152954654537,3871.2048551306075,902.9480995239297,267013.2250020483
299,4774.152954654537,3884.1088713143763,890.0440833401609,263129.1161307339
300,4774.152954654537,3897.0559008854243,877.097053769113,259232.0602298485
301,4774.152954654537,3910.046087221709,864.1068674328283,255322.01414262678
302,4774.152954654537,3923.0795741791144,851.0733804754226,251398.93456844767
303,4774.152954654537,3936.1565060930448,837.9964485614922,247462.77806235463
304,4774.152954654537,3949.277027780022,824.8759268745154,243513.5010345746
305,4774.152954654537,3962.4412845392885,811.7116701152487,239551.05975003532
306,4774.152954654537,3975.6494221544194,798.5035325001177,235575.4103278809
307,4774.152954654537,3988.901586894934,785.251367759603,231586.50874098597
308,4774.152954654537,4002.197925517917,771.9550291366198,227584.31081546805
309,4774.152954654537,4015.5385852696436,758.6143693848935,223568.7722301984
310,4774.152954654537,4028.923713887209,745.229240767328,219539.8485163112
311,4774.152954654537,4042.3534596001664,731.7994950543706,215497.49505671105
312,4774.152954654537,4055.827971132167,718.3249835223701,211441.66708557887
313,4774.152954654537,4069.347397702608,704.8055569519295,207372.31968787627
314,4774.152954654537,4082.911889028283,691.2410656262542,203289.407798848
315,4774.152954654537,4096.521595325044,677.6313593294933,199192.88620352297
316,4774.152954654537,4110.176667309461,663.9762873450766,195082.70953621352
317,4774.152954654537,4123.877256200492,650.275698454045,190958.832280013
318,4774.152954654537,4137.623513721161,636.5294409333767,186821.20876629185
319,4774.152954654537,4151.415592100231,622.7373625543062,182669.7931741916
320,4774.152954654537,4165.253644073899,608.8993105806387,178504.5395301177
321,4774.152954654537,4179.137822887478,595.015131767059,174325.40170723022
322,4774.152954654537,4193.068282297103,581.084672357434,170132.3334249331
323,4774.152954654537,4207.045176571427,567.1077780831104,165925.28824836167
324,4774.152954654537,4221.068660493332,553.0842941612055,161704.21958786834
325,4774.152954654537,4235.138889361642,539.0140652928944,157469.0806985067
326,4774.152954654537,4249.256018992848,524.896935661689,153219.82467951387
327,4774.152954654537,4263.420205722824,510.7327489317129,148956.40447379104
328,4774.152954654537,4277.631606408567,496.5213482459701,144678.77286738247
329,4774.152954654537,4291.890378429929,482.2625762246082,140386.88248895254
330,4774.152954654537,4306.196679691362,467.95627496317513,136080.68580926117
331,4774.152954654537,4320.550668623667,453.6022860308705,131760.1351406375
332,4774.152954654537,4334.952504185745,439.2004504687916,127425.18263645175
333,4774.152954654537,4349.402345866365,424.7506087881725,123075.78029058539
334,4774.152954654537,4363.900353685919,410.2526009686179,118711.87993689947
335,4774.152954654537,4378.446688198205,395.70626645633155,114333.43324870126
336,4774.152954654537,4393.041510492199,381.1114441623375,109940.39173820906
337,4774.152954654537,4407.68498219384,366.46797246069684,105532.70675601522
338,4774.152954654537,4422.37726546782,351.7756891867174,101110.3294905474
339,4774.152954654537,4437.118523019379,337.034431635158,96673.21096752802
340,4774.152954654537,4451.90891809611,322.2440365584267,92221.3020494319
341,4774.152954654537,4466.748614489764,307.404340164773,87754.55343494214
342,4774.152954654537,4481.637776538063,292.51517811647375,83272.91565840408
343,4774.152954654537,4496.576569126523,277.5763855280136,78776.33908927755
344,4774.152954654537,4511.565157690278,262.5877969642585,74264.77393158728
345,4774.152954654537,4526.603708215913,247.54924643862424,69738.17022337136
346,4774.152954654537,4541.692387243299,232.46056741123786,65196.47783612806
347,4774.152954654537,4556.831361867444,217.32159278709352,60639.64647426062
348,4774.152954654537,4572.020799740335,202.13215491420206,56067.625674520285
349,4774.152954654537,4587.260869072803,186.89208558173428,51480.36480544748
350,4774.152954654537,4602.551738636379,171.60121601815825,46877.813066811104
351,4774.152954654537,4617.893577765167,156.25937688937034,42259.91948904594
352,4774.152954654537,4633.286556357717,140.8663982968198,37626.632932688226
353,4774.152954654537,4648.73084487891,125.4221097756274,32977.902087809314
354,4774.152954654537,4664.226614361839,109.9263402926977,28313.675473447474
355,4774.152954654537,4679.774036409713,94.3789182448249,23633.901437037763
356,4774.152954654537,4695.373283197745,78.77967145679254,18938.528153840016
357,4774.152954654537,4711.0245274750705,63.12842717946671,14227.503626364945
358,4774.152954654537,4726.727942566654,47.42501208788315,9500.775683798292
359,4774.152954654537,4742.48370237521,31.66925227932764,4758.291981423083
360,4774.152954654537,4758.291981383127,15.860973271410275,3.9955921238288283e-08
